ID	A2ML1	AADACL4	AAMDC	AAR2	ABCA12	ABCB4	ABCB5	ABCB6	ABCC3	ABCC9	ABCE1	ABCF3	ABHD12	ABHD14B	ABLIM1	ABLIM3	ABT1	AC004076.1	AC005520.1	AC005832.4	AC006030.1	AC008764.4	AC010132.3	AC013470.2	AC027796.3	AC097636.1	AC106741.1	AC131160.1	AC132217.2	AC144573.1	ACAP2	ACBD5	ACE	ACMSD	ACO1	ACO2	ACP5	ACRV1	ACSBG1	ACSM5	ACSM6	ACTG1	ACTN1	ACTR3	ADAM12	ADAM15	ADAM19	ADAM32	ADAMTS18	ADAMTS7	ADAMTS8	ADCK2	ADCY2	ADCY8	ADD3	ADGRB3	ADGRD2	ADGRE2	ADGRE5	ADGRG7	ADGRL4	ADGRV1	ADH4	ADHFE1	ADK	ADNP	ADPRH	ADRB2	ADRM1	AEN	AFAP1L2	AGAP1	AGGF1	AGPS	AGR3	AGRN	AHCYL1	AHNAK	AK2	AK8	AKAP3	AKAP4	AKAP6	AKIP1	AKR1C1	AL121845.3	AL160272.2	AL365214.2	AL391628.1	AL445989.1	AL591806.2	AL669918.1	ALDH9A1	ALDOB	ALDOC	ALG10B	ALG2	ALG3	ALG6	ALKBH3	ALOX5AP	ALYREF	AMDHD1	AMPD3	ANGPTL2	ANGPTL5	ANKFY1	ANKLE2	ANKRD20A1	ANKRD24	ANKRD29	ANKRD36	ANKRD36C	ANO2	ANPEP	ANXA1	ANXA7	AP003108.2	AP3S1	AP3S2	APEH	APEX2	APH1A	APLN	APOBEC3B	APOBEC3G	APOBR	APOE	APOL1	APOL4	APPBP2	AQP10	AQP7	ARAP3	ARF4	ARFGAP2	ARHGAP11A	ARHGAP11B	ARHGAP24	ARHGAP32	ARHGDIG	ARHGEF17	ARHGEF19	ARL1	ARL15	ARL2.SNX15	ARL5C	ARL6IP6	ARMC4	ARMC6	ARMC9	ARPC3	ARPC4	ARPP21	ARSA	ARSI	ARSL	ART4	ASAH2	ASAP1	ASB12	ASCC3	ASF1B	ASIC4	ASPH	ASPM	ATAD2	ATAD5	ATG9B	ATIC	ATP11A	ATP11C	ATP13A4	ATP1B2	ATP1B3	ATP2A3	ATP2B1	ATP4B	ATP5F1D	ATP5MC2	ATP5ME	ATP6V0A4	ATP9B	ATR	ATRAID	ATRIP	ATXN7	AUNIP	AURKA	AVPI1	AWAT1	AZU1	B3GAT2	B3GNT7	B3GNT8	B4GALNT2	B4GALT3	B4GALT7	B4GAT1	BACH2	BAG3	BAG5	BAHD1	BAIAP3	BANK1	BASP1	BATF2	BAX	BAZ1B
TCGA-E1-5318-01	0.414	0	3.204	19.338	0.212	2.08	0	0.207	0.1	1.02	12.551	12.504	21.418	11.574	30.327	3.334	9.619	0.108	0	0	0.013	0.038	0	0	0	0	0	0.017	0	0	6.804	11.968	6.269	0.033	10.553	18.305	0.819	0.244	1.674	1.284	0	886.982	5.136	12.169	2.506	8.666	1.923	0.031	0.117	0.741	1.54	12.943	9.571	2.06	25.731	14.52	0.012	0.484	2.449	0	13.425	0.417	0	2.228	5.886	18.016	0.768	1.052	19.743	7.675	5.12	17.125	5.525	7.882	0	29.486	48.499	6.329	6.845	0.774	1.455	0	6.062	13.153	0.698	0	0	0	0.011	0	0.023	0	36.044	0.159	60.55	2.628	9.123	6.945	1.388	5.921	1.905	42.469	0.227	0.942	51.118	0	11.241	3.823	0.067	1.764	0.138	0.37	0.567	0.603	1.791	4.289	28.191	0.05	12.113	4.595	23.601	9.188	58.336	31.408	0.218	0.43	1.114	690.584	2.574	1.269	11.116	0	0.042	4.232	68.86	23.22	0.898	0.031	1.772	6.864	3.665	5.693	0.581	15.317	7.311	0	0.016	7.424	0.042	12.893	1.199	25.875	25.125	2.867	5.01	0.179	1.48	0.019	0.305	14.126	0.503	8.979	1.629	32.593	4.995	0.255	4.276	0.684	0.174	26.687	5.626	1.98	4.135	318.823	36.595	1.026	3.836	0.031	44.266	87.826	6.568	0.249	2.471	1.001	32.103	2.88	2.319	0.338	1.404	5.026	0.056	0.212	5.186	0.524	0.17	0	11.497	7.132	71.767	2.976	9.317	13.656	8.491	4.548	0.335	43.732	1.683	16.409	25.594
TCGA-DU-A76L-01	0.103	0	1.98	20.384	0.297	0.417	0.004	0.197	5.476	0.39	12.058	12.217	35.182	8.239	9.945	3.836	9.445	0.075	0	0	0.013	0	0	0	0.005	0	0	0.016	0.002	0	5.439	4.446	5.186	0.081	6.67	5.218	4.006	0.247	0.785	1.215	0.004	886.982	34.311	23.22	4.84	12.893	7.286	0.114	0.923	1.656	0.802	12.315	0.733	2.07	13.483	3.624	0.047	0.714	10.253	0.049	10.046	0.338	0.027	0.21	3.292	20.283	3.253	2.282	27.482	10.079	3.95	16.172	4.331	5.886	0.052	49.177	30.573	12.269	11.497	0.741	0.719	0	2.506	11.158	0.134	0.021	0	0	0.009	0.006	0.087	0	26.687	0.13	21.642	1.463	12.739	8.338	3.489	7.882	57.39	33.77	0.311	4.206	32.593	0.133	7.654	3.879	0.072	0.837	0.244	0.355	0.426	0.323	2.307	36.319	23.747	0.05	17.922	3.463	18.484	8.288	45.799	30.327	1.199	1.472	4.477	371.1	31.408	12.363	6.707	0.036	0.008	13.153	147.167	15.804	3.24	0.071	1.48	3.32	2.807	10.669	0.59	18.753	4.065	0.005	0.015	7.54	0.039	8.748	1.942	41.995	30.971	0.679	7.404	0.665	1.183	0.008	0.003	16.323	0.069	6.649	8.157	17.565	8.724	1.745	6.525	1.106	0.893	17.125	7.027	1.612	0.79	158.854	44.705	1.167	6.822	0	14.855	44.266	11.409	0.02	1.366	0.936	39.062	1.8	1.455	1.026	6.269	3.557	0.023	0.121	0.516	2.437	0.182	0.002	10.553	6.096	59.432	0.887	28.388	16.1	6.767	3.964	0.079	17.481	7.586	29.704	31.867
TCGA-CS-6667-01	1.309	0	3.476	16.567	0.053	0.669	0.002	0.541	0.029	4.535	8.491	13.713	18.95	9.382	48.499	10.482	7.742	0.714	0	0	0.013	0	0	0	0.003	0	0	0	0	0	8.892	15.804	0.153	0.038	10.291	15.122	0.384	0.159	5.236	4.135	0	690.584	3.334	9.981	0.015	11.075	0.802	0.098	0.01	0.185	1.558	8.338	22.819	11.277	44.266	8.837	0.031	0.118	2.46	0	4.446	1.412	0	5.287	6.007	14.999	1.719	2.185	14.52	1.252	17.821	5.815	4.359	5.336	0.018	11.533	243.966	75.157	8.361	1.952	1.745	0	8.748	12.269	7.111	0	0.071	0	0.014	0	0.028	0	51.76	0.231	463.906	1.674	6.724	5.01	2.123	6.588	10.016	14.067	0.698	2.271	42.821	0.025	12.992	3.637	0.142	3.074	1.167	0.651	0.87	0.37	1.341	4.595	41.237	0.051	11.711	5.693	19.237	5.85	51.118	6.689	0.39	0.655	0.825	1506.178	3.369	0.076	8.521	0.019	0.131	3.907	45.204	33.035	0.269	0.032	2.807	10.363	4.232	7.092	0.708	11.884	3.049	0.009	0.041	5.832	0.333	8.312	1.16	29.486	22.347	7.239	3.652	0.115	1.079	0.069	0.07	10.148	0.092	2.952	0.842	17.731	17.565	0.146	4.093	0.608	0.12	23.077	4.276	2.009	16.49	193.297	24.158	0.499	3.436	0.052	32.806	68.86	5.956	0.042	1.013	0.923	36.595	2.372	1.48	0.379	0.893	4.729	0	0.106	4.639	0.367	0.124	0	7.764	4.548	158.854	1.505	31.64	10.253	7.05	6.966	0.018	27.178	0.911	14.382	21.178
TCGA-E1-A7YI-01	0.047	0	2.46	19.338	0.358	3.152	0	0.622	0.108	0.626	13.937	11.792	18.568	2.952	16.03	2.471	15.585	0.173	0	0	0.026	0	0	0	0.004	0	0	0.043	0.004	0	3.517	9.22	0.349	0.104	5.902	6.822	0.675	1.691	2.397	0.848	0	1506.178	9.775	21.991	0.33	8.417	1.523	0.164	0.009	5.693	0.586	4.579	1.065	4.777	6.67	7.333	0	0.719	6.213	0.095	4.609	1.072	0.027	0.768	3.782	26.363	0.893	0.307	23.342	12.01	2.09	21.642	4.446	6.649	0.038	46.298	35.182	5.607	9.063	0.516	1.54	0	3.637	4.952	0.414	0.013	0.017	0.014	0.009	0	0	0.007	21.178	0.203	11.075	2.05	9.914	6.007	1.772	3.665	14.586	49.177	0.095	1.325	24.294	0	10.046	5.886	0.603	0.342	0.096	0.287	0.746	0.194	1.923	5.492	16.323	0.118	18.849	3.204	19.836	6.707	53.971	22.958	1.04	0.387	1.603	690.584	1.175	13.539	7.931	0	0.012	9.742	75.157	9.571	8.157	0.452	0.469	10.148	2.07	8.95	1.621	8.694	4.246	0	0	18.484	0.021	19.044	1.827	34.058	24.429	1.058	13.821	0.558	1.332	0.017	0.126	18.667	0.371	4.826	13.314	7.239	5.66	6.689	19.743	2.228	0.11	15.449	8.892	2.506	4.492	371.1	59.432	1.629	6.308	0.1	23.477	48.499	11.409	0.01	1.7	1.001	27.482	2.529	1.665	2.208	9.007	4.535	0	0.078	0.741	0.562	0.091	0	14.19	5.201	42.469	3.087	7.697	15.515	10.594	1.952	0.036	106.716	0.708	29.914	27.818
TCGA-HT-7610-01	1.388	0	1.412	11.665	0.064	0.121	0	0.309	0.037	1.895	8.808	12.217	21.642	2.976	33.279	7.424	4.952	0.06	0.008	0	0.016	0	0	0.001	0.001	0.056	0	0.002	0	0	5.525	9.063	0.484	0.064	6.525	15.385	0.16	0.318	7.954	3.026	0	690.584	7.38	8.979	0.117	7.492	1.358	0.087	0.143	0.156	4.218	9.809	11.75	13.88	57.39	23.342	0.003	0.076	0.831	0	0.636	8.95	0	1.381	5.043	16.9	0.679	2.282	9.382	3.369	3.679	14.785	3.991	5.507	0	14.638	136.028	27.662	4.261	0.741	1.277	0	16.03	7.22	1.683	0.002	0.007	0.013	0.001	0	0.009	0	50.515	0.245	463.906	1.404	5.088	3.695	1.463	4.966	7.742	15.061	0.164	2.628	59.432	0.039	11.452	3.19	0.062	5.781	0.87	0.724	1.316	0.174	0.373	1.638	28.563	0.047	12.058	5.32	20.384	3.463	34.058	7.717	0.158	0.345	0.364	1506.178	0.942	0.063	9.707	0	0.07	1.446	40.876	23.477	0.481	0.014	2.06	20.602	14.52	13.483	0.197	13.101	6.024	0.004	0.022	4.794	0.149	9.351	1.496	22.473	15.256	14.382	4.625	0.414	0.52	0.003	0.191	12.644	0.048	4.317	0.73	10.829	7.05	0.207	2.83	0.586	0.172	14.451	4.921	1.332	11.158	158.854	22.347	0.33	30.971	0.022	13.207	41.995	4.492	0.039	1.745	1.106	20.5	1.629	1.772	0.994	0.622	7.835	0	0.217	7.564	0.273	0.081	0	5.589	5.405	117.817	1.54	14.314	10.634	5.71	11.196	0.159	173.223	0.537	6.986	20.169
TCGA-HT-7856-01	1.139	0	1.933	10.752	0.032	0.106	0.001	0.207	0.198	1.052	5.541	12.644	28.962	3.738	32.352	6.08	4.89	0.135	0	0	0.006	0	0.002	0	0	0.018	0.001	0.024	0	0	4.403	8.312	0.508	0.05	7.38	21.867	0.411	0.213	14.19	2.271	0	690.584	9.541	7.742	0.076	9.505	0.774	0.068	0.088	0.069	4.359	8.264	10.829	5.589	48.499	15.385	0.001	0.128	2.46	0	1.514	4.346	0	3.074	3.585	11.497	0.581	1.309	16.172	2.029	5.354	19.541	3.542	4.193	0	13.483	117.817	25.875	3.421	0.79	0.73	0	9.602	7.492	1.772	0	0.035	0	0.009	0	0.014	0	32.806	0.287	463.906	1.252	5.938	3.978	1.146	4.303	3.665	16.729	0.172	4.84	24.567	0.063	7.675	3.113	0.018	9.351	1.437	0.492	0.802	0.28	0.953	3.334	33.279	0.02	13.041	4.506	17.481	3.921	26.183	15.185	0.046	0.316	0.586	1506.178	2.867	0.436	7.977	0.013	0.076	1.942	35.458	23.22	0.537	0.027	1.341	12.694	24.158	16.567	0.178	12.363	4.135	0.003	0.015	3.851	0.09	8.388	1.558	20.959	19.044	8.638	9.416	0.669	0.746	0.005	0.117	9.091	0.089	2.25	0.947	14.451	6.767	0.101	2.64	0.43	0.325	13.207	4.331	0.904	7.469	193.297	21.755	0.379	22.958	0.021	31.408	40.876	7.239	0.007	1.905	0.598	16.409	1.429	1.373	0.499	0.986	16.249	0.014	0.229	3.012	0.353	0.13	0.001	6.192	4.432	136.028	1.092	19.338	11.158	6.096	27.019	0.099	147.167	0.831	7.809	16.03
TCGA-HT-8114-01	1.139	0	2.529	13.37	0.09	0.426	0.034	0.262	1.603	2.294	7.835	12.01	22.958	9.252	54.747	7.54	6.406	0.101	0	0.012	0.013	0.008	0	0.018	0.003	0	0	0.005	0	0	6.546	16.249	0.269	0.018	8.837	13.937	0.503	0.133	1.437	17.565	0.014	690.584	6.788	10.363	0.344	7.286	1.183	0.122	0.024	0.082	3.292	7.38	24.84	15.654	57.39	10.713	0	0.492	1.341	0	1.952	4.206	0.007	2.685	11.574	14.257	1.284	1.549	12.269	1.396	6.096	5.026	4.403	6.192	0	16.03	318.823	55.453	7.654	2.156	1.568	0	11.196	9.981	0.898	0.013	0.074	0	0.003	0	0.01	0	46.298	0.111	243.966	1.576	6.231	4.12	2.586	5.763	34.626	19.836	0.296	2.734	43.226	0.193	18.484	2.663	0.043	2.271	0.249	0.33	0.659	0.35	0.859	24.429	37.808	0.039	9.669	3.95	22.595	4.89	51.76	33.279	0.59	0.917	2.449	1506.178	5.507	4.595	8.288	0	0.022	1.728	51.118	21.642	0.495	0.045	3.049	9.22	1.691	20.833	0.396	9.416	3.383	0.003	0.035	6.63	0.189	7.787	1.381	34.907	22.23	9.809	8.867	0.137	0.39	0.036	0.123	11.452	0.023	4.671	1.215	30.971	11.927	0.375	3.087	0.402	0.049	22.347	5.058	1.781	16.409	102.515	26.863	0.567	5.541	0.038	19.936	58.336	5.476	0.066	0.864	0.936	30.327	2.185	1.388	0.225	1.013	6.425	0.02	0.082	3.152	0.594	0.308	0	6.08	4.744	111.654	1.052	26.183	9.945	6.213	20.384	0.072	41.995	2.964	13.314	19.743
TCGA-FG-A6IZ-01	0.638	0	5.088	19.435	0.051	0.163	0	0.37	0.067	0.364	6.155	20.5	42.821	14.586	16.249	5.744	11.884	0.115	0	0	0	0	0	0.011	0	0.01	0	0	0	0	4.12	6.707	1.429	0.111	8.029	9.742	1.396	0.293	3.215	1.072	0	886.982	3.637	8.239	0.275	19.338	0.598	0.035	0	0.16	1.54	13.207	7.38	4.857	13.595	6.886	0	0.149	3.139	0	1.455	3.266	0	3.978	8.338	7.492	0.881	0.617	22.595	6.788	6.767	3.6	5.85	4.872	0	10.713	27.662	4.461	5.456	6.269	1.999	0	3.279	15.317	1.647	0.058	0.015	0	0.047	0	0	0	24.023	0.07	463.906	1.683	7.111	11.075	2.341	17.289	4.389	58.336	0.859	0.445	117.817	0.138	4.906	5.058	0.008	9.123	0.751	0.143	0.516	0.182	0.499	1.846	22.23	0.094	8.979	9.155	31.64	8.157	51.76	9.283	0.679	0.442	3.305	1506.178	2.807	0.808	5.043	0.016	0.084	0.942	28.191	49.878	0.802	0.025	1.505	2.628	21.526	7.809	0.73	9.505	3.334	0	0.042	5.902	0.577	25.44	1.576	33.531	40.112	7.261	9.351	0.603	1.737	0.008	0.281	4.317	0.118	3.921	4.15	78.952	5.886	0.108	2.25	0.785	0.075	24.294	0.613	1.764	4.065	61.477	40.876	0.287	2.952	0.051	147.167	126.158	19.141	0.198	1.709	0.638	36.044	8.867	1.236	0.375	0.953	16.9	0.023	1.674	3.809	0.204	0.081	0	14.638	15.585	85.268	1.04	8.776	9.945	6.822	7.092	0.008	41.659	2.471	31.867	9.382
TCGA-HW-8321-01	2.674	0	2.294	16.9	0.1	0.142	0	0.135	0.247	2.867	7.069	12.79	22.595	6.269	47.351	10.148	7.333	0.152	0.013	0	0.023	0	0	0.106	0.005	0	0.004	0.008	0	0	4.05	9.981	0.099	0.099	9.874	23.747	0.558	0.279	9.155	9.571	0.009	690.584	8.264	10.713	0.452	7.564	1.007	0.035	0.144	0.293	1.691	12.058	10.517	18.212	59.432	10.594	0.036	0.335	2.891	0	1.446	2.46	0.02	1.252	9.283	17.384	1.97	3.357	15.185	1.523	11.533	9.505	4.432	6.134	0.131	17.652	243.966	26.525	5.533	2.94	2.307	0	9.602	6.503	2.697	0	0.042	0.015	0.007	0	0	0	68.86	0.214	173.223	1.229	7.909	5.171	1.576	6.485	26.863	28.388	0.572	2.437	35.76	0.083	15.122	2.999	0.025	1.058	0.198	0.259	0.417	0.108	0.448	11.241	35.458	0.027	9.382	4.166	20.283	6.446	63.921	8.468	0.43	1.072	3.152	1506.178	1.838	3.305	8.837	0	0.034	0.714	53.27	25.44	0.736	0.046	2.494	7.882	5.507	10.291	0.36	11.792	4.966	0	0.007	8.441	0.289	9.317	1.277	32.352	23.601	6.249	6.966	1.001	0.768	0.005	0.112	13.425	0.019	3.695	3.178	17.289	8.211	0.577	3.796	0.524	0.054	24.023	5.642	1.065	9.351	147.167	18.753	0.445	6.568	0.015	27.818	43.226	4.812	0.027	1.421	0.537	30.12	1.656	1.514	0.488	1.621	5.218	0.015	0.309	3.738	0.402	0.047	0.04	9.841	4.535	87.826	1.472	58.336	9.252	6.155	10.323	0.203	55.453	1.532	9.091	18.849
TCGA-TQ-A7RK-01	0.626	0	3.396	18.849	0.014	0.14	0	0.917	0.029	1.316	5.797	17.044	25.44	6.746	29.119	13.937	8.312	0.099	0.004	0	0	0.015	0.009	0.044	0.006	0	0	0.023	0	0	2.341	7.447	0.245	0.039	8.239	15.385	0.261	0.477	1.7	4.952	0	886.982	4.492	7.909	0.071	14.785	2.987	0.161	0.055	0.279	1.079	7.111	14.999	10.016	55.453	6.945	0.016	0.062	1.16	0.003	0.953	4.872	0.109	1.942	9.091	15.256	0.669	3.061	16.64	1.878	1.709	2.795	4.84	5.186	0	18.305	243.966	24.429	9.669	1.781	1.638	0	7.38	10.915	0.813	0.021	0.028	0	0.009	0	0.008	0	30.757	1.838	318.823	1.388	6.788	7.632	3.879	7.492	2.239	106.716	0.455	1.568	35.458	0.006	11.665	4.777	0.036	4.714	0.198	1.086	1.183	0.067	0.439	13.37	21.294	0.092	9.602	5.171	21.755	6.724	56.409	8.748	0.3	0.402	0.904	1506.178	2.04	1.791	10.829	0	0.027	1.167	47.351	31.867	1.528	0.117	1.215	6.446	2.818	17.125	0.318	9.155	2.261	0	0.026	7.469	0.345	14.707	0.675	33.77	23.477	2.597	8.081	0.452	0.484	0.027	0.037	10.218	0.151	3.476	4.535	12.01	7.239	0.758	4.906	1.301	0.094	10.594	4.08	1.647	1.827	275.465	24.294	0.101	2.841	0.011	54.747	83.035	17.652	0.089	1.745	0.923	22.347	3.421	1.576	0.689	2.471	7.787	0.012	0.613	6.822	0.384	0.087	0	9.123	6.588	87.826	1.35	28.388	11.574	7.954	23.873	0.011	48.499	0.59	22.709	18.404
TCGA-HT-A619-01	0.606	0	2.427	16.172	0.176	0.911	0.009	0.864	0.089	0.397	12.217	14.067	26.037	6.114	21.526	1.514	8.808	0.073	0.014	0	0.018	0	0.013	0	0.033	0	0	0	0	0	9.155	9.945	2.471	0.195	7.357	11.497	1.404	0.2	0.296	0.228	0	1506.178	3.345	12.992	0.567	12.269	2.494	0.039	0	0.459	0.669	6.588	3.652	0.361	30.971	17.289	0.01	0.345	3.215	0	10.994	1.388	0	1.737	7.311	20.384	0.936	0.18	11.241	6.606	40.876	11.621	3.768	7.882	0	23.477	25.276	4.84	3.936	0.942	1.046	0	3.32	14.999	1.341	0.015	0	0	0.023	0	0	0	30.757	0.133	47.351	1.827	9.445	5.832	2.987	9.874	0.244	33.279	0.185	0.249	173.223	0.229	10.869	5.043	0.082	6.467	0.302	1.236	1.764	0.283	1.332	3.637	26.525	0.087	12.739	2.818	15.385	6.249	48.499	10.517	0.207	0.236	0.364	690.584	3.074	0.061	12.058	0	0.025	2.734	39.062	25.125	0.641	0.012	3.334	7.447	4.952	5.558	0.448	15.061	4.812	0	0	9.914	0.069	17.203	0.917	25.875	15.952	5.254	3.383	0.059	1.463	0.049	0.204	13.595	0.121	5.99	3.907	318.823	10.482	0.293	5.642	1.791	0.17	39.388	5.271	4.418	1.269	117.817	46.298	0.774	5.152	0.165	38.396	87.826	3.19	1.942	2.437	1.558	37.177	3.061	2.208	0.426	1.455	8.338	0.027	0.218	4.246	0.192	0.081	0	13.26	5.938	147.167	1.905	3.517	11.968	4.995	1.728	0.118	85.268	2.94	22.347	28.191
TCGA-TQ-A7RN-01	11.277	0	1.54	13.314	0.245	0.484	0.011	0.11	3.753	2.807	7.564	10.829	19.936	11.075	19.541	1.878	3.796	0.106	0.003	0	0.002	0	0	0.134	0.002	0.002	0	0.02	0	0	4.84	5.676	0.423	0.032	7.469	10.44	1.072	0.13	8.441	1.429	0	463.906	8.837	13.762	1.621	12.739	4.521	0.078	0.135	0.163	2.494	12.269	4.166	0.904	50.515	5.088	0.072	0.917	4.218	0.013	1.301	1.175	0.055	1.683	4.15	16.1	2.319	3.253	14.257	7.286	6.366	6.588	4.639	5.507	0.379	14.707	136.028	34.311	9.007	2.029	0.936	0	2.261	11.158	0.554	0.003	0.189	0.007	0.012	0	0.062	0	38.728	0.151	117.817	1.463	15.515	8.607	5.186	6.804	25.125	24.023	0.185	3.809	20.602	0.078	15.256	3.178	0.094	1.856	1.106	0.31	0.613	0.221	0.641	80.932	23.077	0.044	9.914	4.906	24.567	7.333	47.351	5.642	0.095	2.09	2.219	243.966	5.886	2.123	10.148	0	0.025	2.747	68.86	19.237	0.831	0.066	3.585	5.218	1.146	3.652	0.693	17.044	4.562	0	0	3.612	0.608	7.447	2.397	33.035	21.294	1.153	12.217	0.672	3.139	0.028	0.08	16.172	0.01	4.08	3.345	1.215	12.943	0.659	4.107	0.334	0.191	21.063	6.114	1.97	10.079	193.297	43.226	1.02	14.003	0.008	22.347	40.463	6.007	0.146	1.895	1.366	39.777	1.952	1.914	0.375	1.656	3.036	0.018	0.007	8.056	3.204	0.087	0.001	6.822	5.956	58.336	0.17	17.481	7.809	4.246	27.323	1.309	19.435	8.106	15.725	32.806
TCGA-FG-A710-01	0.911	0	3.228	17.044	0.03	0.46	0	0.302	0.051	0.675	8.581	13.821	29.704	10.79	27.989	5.71	8.106	0.033	0.002	0	0.008	0	0.002	0	0	0.011	0	0.003	0	0	4.777	7.931	0.842	0.041	7.447	15.872	0.831	0.348	4.794	2.607	0	690.584	5.171	10.713	0.145	9.775	1.046	0.062	0.015	0.285	2.009	11.665	9.188	1.867	27.019	14.382	0	0.512	4.812	0	1.808	5.336	0.012	2.697	5.744	12.504	2.156	1.961	18.667	6.406	34.626	8.521	4.135	5.218	0	16.323	83.035	13.153	4.535	1.034	1.396	0	7.22	11.968	0.708	0.009	0.012	0	0.003	0	0.013	0	37.177	0.338	463.906	1.325	8.312	8.607	1.206	8.361	9.47	33.035	0.289	1.656	71.767	0.08	10.046	3.204	0.013	4.655	1.013	0.259	0.484	0.207	0.541	3.305	30.12	0.045	10.079	5.832	20.602	6.689	45.204	7.154	0.703	1.086	6.503	1506.178	7.632	0.79	6.707	0	0.136	1.446	51.76	28.962	0.98	0.057	1.269	4.506	14.855	18.849	0.477	11.241	4.289	0.005	0.021	5.136	0.174	12.411	1.079	38.396	26.525	8.264	9.981	0.455	0.929	0.035	0.071	7.742	0.221	5.439	3.724	30.971	4.639	0.433	2.427	0.598	0.16	20.71	2.964	1.277	6.007	243.966	32.352	0.554	8.979	0.009	43.226	75.157	16.971	0.042	1.523	0.558	34.907	2.219	1.252	0.364	1.691	9.809	0	0.328	1.683	0.42	0.097	0	8.666	6.588	90.526	1.309	29.119	11.452	6.906	7.092	0.036	95.574	4.276	20.384	14.999
TCGA-E1-A7YM-01	2.029	0.011	2.239	14.785	0.119	0.089	0	0.535	0.168	0.73	7.787	13.425	29.809	7.059	15.515	5.354	6.155	0.273	0	0.02	0.01	0	0.004	0.016	0	0	0	0.005	0	0	3.24	5.607	0.034	0.013	5.832	10.482	0.279	0.244	1.933	3.921	0	690.584	4.506	9.007	0.22	19.541	2.964	0.07	1.728	0.182	6.606	13.483	7.717	7.092	47.351	4.246	0.042	0.195	3.139	0	0.714	1.665	0.031	4.921	3.408	13.539	0.87	1.856	20.283	4.432	4.289	10.79	5.868	3.936	0	8.922	136.028	41.237	9.188	2.628	1.252	0	4.777	10.669	0.495	0.035	0.058	0	0.007	0	0.155	0	35.76	0.122	463.906	0.541	7.654	6.269	4.535	7.132	14.451	39.062	0.118	4.107	9.445	0.026	8.417	3.738	0.016	4.12	0.433	0.348	0.269	0.116	0.546	39.388	23.747	0.057	12.411	4.761	16.64	5.781	41.995	8.468	0.156	1.04	2.228	886.982	1.332	1.325	7.564	0	0.018	5.902	54.747	25.875	0.831	0.054	0.966	8.13	6.63	3.502	3.228	11.792	2.156	0	0	6.231	0.217	7.177	1.594	32.593	24.84	1.8	9.914	0.665	1.412	0.018	0.036	8.288	0.051	3.709	3.421	3.724	7.239	0.379	4.359	0.746	0.14	17.652	4.389	0.929	9.981	147.167	20.384	0.238	4.826	0	46.835	51.76	25.731	0.062	1.301	0.819	40.112	2.71	1.215	0.353	1.388	8.312	0	0.056	8.892	2.427	0.1	0	5.456	4.98	95.574	1.007	35.458	7.424	5.043	7.54	0.181	23.22	1.199	18.568	25.594
TCGA-P5-A77X-01	1.472	0	3.074	13.821	0.084	0.209	0.002	0.554	0.062	2.33	9.416	13.101	25.594	7.492	38.728	8.776	5.525	0.177	0	0	0.015	0	0	0	0.002	0.002	0	0.004	0	0	6.724	12.269	0.546	0.067	7.61	19.936	0.149	0.168	8.157	1.332	0	463.906	3.436	9.635	0.256	5.921	0.79	0.116	0.04	0.166	1.558	7.261	10.669	10.016	47.351	12.79	0	0.064	1.496	0.006	1.183	8.441	0.005	3.637	6.67	14.785	0.469	1.772	14.067	6.329	27.989	8.521	5.186	5.832	0.014	9.036	106.716	26.037	4.107	2.597	0.622	0	5.763	11.319	5.974	0.003	0.025	0.009	0.026	0	0.015	0	53.27	0.249	690.584	2.05	8.95	5.66	2.208	4.761	1.905	22.709	0.342	2.25	75.157	0.064	13.314	2.71	0.031	5.271	1.933	0.455	0.719	0.103	0.267	1.373	38.091	0.056	14.707	5.886	14.19	4.206	35.182	10.403	0.414	0.201	0.708	1506.178	1.683	0.275	7.333	0	0.131	1.549	60.55	25.125	0.562	0.042	1.505	7.954	13.37	12.315	0.126	16.03	5.37	0	0.018	7.835	0.12	8.264	1.638	26.863	20.71	13.713	4.289	0.367	1.229	0.007	0.071	9.155	0.039	5.088	1.026	15.725	8.724	0.173	3.152	0.665	0.207	19.645	2.88	1.301	13.26	371.1	32.352	0.316	12.839	0	30.12	54.747	13.656	0.044	1.35	0.87	26.525	1.764	2.134	0.212	0.893	7.564	0.01	0.142	7.027	0.077	0.034	0	6.568	5.676	98.74	1.341	41.995	6.925	5.938	8.554	0.075	147.167	1.215	9.123	18.95
